Date,Gold_Price,Real_Interest_Rate
2003-01-31,370.35,2.2942857142857145
2003-02-28,347.65,1.9900000000000002
2003-03-31,335.35,1.9442857142857142
2003-04-30,336.0,2.183809523809524
2003-05-31,365.8,1.908095238095238
2003-06-30,345.15,1.7219047619047618
2003-07-31,355.75,2.1095454545454544
2003-08-31,371.0,2.32047619047619
2003-09-30,384.5,2.1861904761904762
2003-10-31,384.6,2.076363636363636
2003-11-30,398.1,1.963888888888889
2003-12-31,417.25,1.9836363636363636
2004-01-31,401.3,1.8875
2004-02-29,392.25,1.7621052631578948
2004-03-31,423.0,1.465217391304348
2004-04-30,387.3,1.9028571428571428
2004-05-31,393.85,2.09
2004-06-30,393.75,2.146190476190476
2004-07-31,389.6,2.024285714285714
2004-08-31,408.1,1.8595454545454546
2004-09-30,412.35,1.799047619047619
2004-10-31,426.2,1.7289999999999999
2004-11-30,452.0,1.6759999999999997
2004-12-31,438.0,1.6686363636363637
2005-01-31,423.8,1.7235
2005-02-28,436.55,1.6310526315789473
2005-03-31,427.5,1.7872727272727273
2005-04-30,433.2,1.7057142857142857
2005-05-31,416.9,1.6533333333333333
2005-06-30,436.8,1.6745454545454548
2005-07-31,427.15,1.8765
2005-08-31,433.0,1.8891304347826088
2005-09-30,473.4,1.6990476190476191
2005-10-31,472.65,1.9425000000000001
2005-11-30,493.8,2.0635
2005-12-31,513.0,2.1233333333333335
2006-01-31,569.8,2.006
2006-02-28,556.5,2.0489473684210524
2006-03-31,584.0,2.197391304347826
2006-04-30,638.25,2.4089473684210527
2006-05-31,654.0,2.445909090909091
2006-06-30,600.4,2.5295454545454543
2006-07-31,637.0,2.507
2006-08-31,621.75,2.2908695652173914
2006-09-30,601.75,2.3195
2006-10-31,600.9,2.4114285714285715
2006-11-30,638.4,2.291904761904762
2006-12-31,635.7,2.2504999999999997
2007-01-31,645.75,2.4366666666666665
2007-02-28,677.0,2.360526315789474
2007-03-31,663.5,2.1768181818181818
2007-04-30,678.0,2.255714285714286
2007-05-31,656.6,2.3736363636363635
2007-06-30,648.5,2.690952380952381
2007-07-31,666.75,2.6366666666666667
2007-08-31,668.0,2.4382608695652173
2007-09-30,737.75,2.2573684210526315
2007-10-31,783.0,2.2022727272727276
2007-11-30,794.75,1.768
2007-12-31,836.5,1.7890000000000001
2008-01-31,923.75,1.4690476190476192
2008-02-29,969.0,1.405
2008-03-31,937.25,1.091
2008-04-30,867.75,1.3622727272727273
2008-05-31,879.5,1.46
2008-06-30,932.75,1.6285714285714288
2008-07-31,912.0,1.5690909090909089
2008-08-31,836.5,1.6761904761904762
2008-09-30,897.0,1.85
2008-10-31,728.5,2.752272727272727
2008-11-30,813.5,2.8883333333333336
2008-12-31,865.0,2.17
2009-01-31,918.5,1.9120000000000001
2009-02-28,943.75,1.7521052631578946
2009-03-31,918.5,1.7090909090909092
2009-04-30,889.0,1.5676190476190477
2009-05-31,972.0,1.7169999999999999
2009-06-30,941.0,1.8622727272727273
2009-07-31,936.5,1.8227272727272728
2009-08-31,950.75,1.7738095238095237
2009-09-30,1001.25,1.6419047619047618
2009-10-31,1044.5,1.4833333333333332
2009-11-30,1172.0,1.2752631578947369
2009-12-31,1104.0,1.3645454545454545
2010-01-31,1082.75,1.3747368421052633
2010-02-28,1112.5,1.4189473684210527
2010-03-31,1109.5,1.5082608695652173
2010-04-30,1175.25,1.500909090909091
2010-05-31,1214.0,1.307
2010-06-30,1240.5,1.2568181818181818
2010-07-31,1168.0,1.2409523809523808
2010-08-31,1233.5,1.0218181818181817
2010-09-30,1311.0,0.909047619047619
2010-10-31,1336.75,0.525
2010-11-30,1375.0,0.666
2010-12-31,1410.25,1.044090909090909
2011-01-31,1333.5,1.0605
2011-02-28,1409.75,1.2378947368421052
2011-03-31,1431.0,0.9639130434782609
2011-04-30,1531.0,0.8634999999999999
2011-05-31,1537.0,0.7785714285714287
2011-06-30,1508.0,0.7554545454545455
2011-07-31,1613.75,0.6235
2011-08-31,1826.0,0.13521739130434782
2011-09-30,1629.0,0.07761904761904763
2011-10-31,1718.0,0.186
2011-11-30,1704.0,0.0014999999999999996
2011-12-31,1574.5,-0.03142857142857143
2012-01-31,1738.0,-0.10800000000000001
2012-02-29,1788.0,-0.2545
2012-03-31,1660.75,-0.14136363636363636
2012-04-30,1662.5,-0.2138095238095238
2012-05-31,1567.5,-0.34136363636363637
2012-06-30,1569.5,-0.5004761904761905
2012-07-31,1622.75,-0.6019047619047619
2012-08-31,1657.75,-0.5856521739130435
2012-09-30,1781.0,-0.7131578947368421
2012-10-31,1718.0,-0.7485714285714286
2012-11-30,1728.25,-0.7725
2012-12-31,1664.0,-0.7575000000000001
2013-01-31,1674.5,-0.6085714285714287
2013-02-28,1591.0,-0.5705263157894737
2013-03-31,1602.5,-0.585
2013-04-30,1472.75,-0.6522727272727272
2013-05-31,1410.25,-0.35500000000000004
2013-06-30,1203.25,0.2515
2013-07-31,1331.5,0.46
2013-08-31,1392.75,0.5527272727272727
2013-09-30,1335.75,0.6639999999999999
2013-10-31,1333.75,0.42863636363636365
2013-11-30,1245.25,0.5478947368421053
2013-12-31,1201.5,0.7385714285714285
2014-01-31,1246.5,0.6319047619047619
2014-02-28,1327.75,0.5521052631578948
2014-03-31,1294.0,0.5557142857142857
2014-04-30,1292.0,0.5428571428571429
2014-05-31,1254.0,0.3680952380952381
2014-06-30,1313.0,0.36952380952380953
2014-07-31,1295.0,0.27954545454545454
2014-08-31,1285.75,0.22380952380952382
2014-09-30,1210.0,0.46095238095238095
2014-10-31,1173.25,0.38409090909090904
2014-11-30,1184.5,0.44555555555555554
2014-12-31,1199.25,0.5104545454545455
2015-01-31,1263.5,0.2745
2015-02-28,1205.0,0.26
2015-03-31,1179.25,0.2809090909090909
2015-04-30,1204.3,0.07681818181818183
2015-05-31,1189.8,0.33199999999999996
2015-06-30,1171.8,0.4977272727272728
2015-07-31,1095.1,0.5036363636363637
2015-08-31,1132.5,0.5557142857142857
2015-09-30,1115.2,0.65
2015-10-31,1141.4,0.5714285714285714
2015-11-30,1065.3,0.6926315789473684
2015-12-31,1060.2,0.7277272727272728
2016-01-31,1116.4,0.6652631578947369
2016-02-29,1234.4,0.472
2016-03-31,1235.6,0.3372727272727273
2016-04-30,1290.5,0.19047619047619047
2016-05-31,1217.5,0.2119047619047619
2016-06-30,1320.6,0.1740909090909091
2016-07-31,1357.5,0.0385
2016-08-31,1311.4,0.0882608695652174
2016-09-30,1317.1,0.11571428571428573
2016-10-31,1273.1,0.0975
2016-11-30,1173.9,0.32
2016-12-31,1151.7,0.5561904761904761
2017-01-31,1211.4,0.421
2017-02-28,1253.9,0.39999999999999997
2017-03-31,1251.2,0.4856521739130435
2017-04-30,1268.3,0.3910526315789474
2017-05-31,1275.4,0.4668181818181818
2017-06-30,1242.3,0.4581818181818182
2017-07-31,1273.4,0.546
2017-08-31,1322.2,0.43347826086956526
2017-09-30,1284.8,0.368
2017-10-31,1270.5,0.49809523809523815
2017-11-30,1282.15,0.4957142857142857
2017-12-31,1296.5,0.503
2018-01-31,1343.35,0.54
2018-02-28,1320.3,0.7573684210526316
2018-03-31,1323.9,0.7519047619047619
2018-04-30,1316.25,0.7414285714285714
2018-05-31,1303.5,0.8359090909090909
2018-06-30,1250.55,0.7947619047619048
2018-07-31,1219.2,0.7747619047619048
2018-08-31,1206.85,0.79
2018-09-30,1183.5,0.8810526315789474
2018-10-31,1217.7,1.040909090909091
2018-11-30,1220.45,1.113
2018-12-31,1281.65,1.016315789473684
2019-01-31,1322.5,0.92
2019-02-28,1325.45,0.7994736842105263
2019-03-31,1291.15,0.6580952380952381
2019-04-30,1285.15,0.5957142857142858
2019-05-31,1296.0,0.5686363636363636
2019-06-30,1413.2,0.374
2019-07-31,1430.55,0.3063636363636364
2019-08-31,1526.55,0.04
2019-09-30,1487.6,0.1125
2019-10-31,1506.4,0.1459090909090909
2019-11-30,1456.35,0.17157894736842105
2019-12-31,1523.0,0.14476190476190476
2020-01-31,1580.85,0.03666666666666667
2020-02-29,1626.35,-0.11157894736842106
2020-03-31,1604.65,-0.11681818181818181
2020-04-30,1716.75,-0.4457142857142857
2020-05-31,1725.65,-0.4415
2020-06-30,1770.7,-0.5445454545454546
2020-07-31,1971.68,-0.8327272727272728
2020-08-31,1970.5,-1.0114285714285716
2020-09-30,1893.9,-0.9766666666666668
2020-10-31,1879.9,-0.9166666666666666
2020-11-30,1779.86,-0.8421052631578947
2020-12-31,1895.1,-0.9822727272727273
2021-01-31,1849.7,-1.0005263157894737
2021-02-28,1728.8,-0.9221052631578948
2021-03-31,1715.24,-0.6643478260869565
2021-04-30,1767.7,-0.7145454545454546
2021-05-31,1904.74,-0.8470000000000001
2021-06-30,1771.6,-0.8236363636363637
2021-07-31,1814.12,-1.0090476190476192
2021-08-31,1815.8,-1.0654545454545454
2021-09-30,1756.66,-0.9695238095238095
2021-10-31,1783.9,-0.9525
2021-11-30,1775.92,-1.0565
2021-12-31,1828.6,-0.9931818181818183
2022-01-31,1796.12,-0.6855
2022-02-28,1900.7,-0.5236842105263158
2022-03-31,1953.04,-0.7186956521739131
2022-04-30,1911.7,-0.1365
2022-05-31,1847.26,0.20952380952380953
2022-06-30,1817.4548,0.5257142857142857
2022-07-31,1766.4309,0.534
2022-08-31,1708.58,0.3895652173913044
2022-09-30,1660.8799,1.1366666666666667
2022-10-31,1632.38,1.59
2022-11-30,1768.61,1.52
2022-12-31,1824.3233,1.3566666666666667
2023-01-31,1928.1201,1.2945
2023-02-28,1826.7404,1.4131578947368422
2023-03-31,1969.5459,1.3608695652173914
2023-04-30,1990.6,1.1935
2023-05-31,1965.2,1.36
2023-06-30,1919.5693,1.5476190476190477
2023-07-31,1964.3387,1.6030000000000002
2023-08-31,1939.8281,1.8326086956521739
2023-09-30,1848.4898,2.037
2023-10-31,1984.0109,2.4119047619047618
2023-11-30,2044.8957,2.198571428571429
2023-12-31,2062.9233,1.8355000000000001
2024-01-31,2039.1538,1.7919047619047621
2024-02-29,2044.1997,1.925
2024-03-31,2231.5551,1.8969999999999998
2024-04-30,2285.9886,2.145
2024-05-31,2327.2836,2.148181818181818
2024-06-30,2326.7177,2.05
2024-07-31,2447.3573,1.9740909090909091
2024-08-31,2503.3796,1.760909090909091
2024-09-30,2634.7649,1.616
2024-10-31,2746.7019,1.8095454545454546
2024-11-30,2651.2196,2.034736842105263
2024-12-31,2624.603,2.0880952380952382
2025-01-31,2798.1969,2.2285714285714286
2025-02-28,2858.0493,2.026842105263158
2025-03-31,3123.0822,1.946190476190476
2025-04-30,3288.7814,2.038095238095238
2025-05-31,3289.5548,2.1104761904761906
2025-06-30,3266.4101,2.0865
2025-07-31,3285.7772,2.0081818181818183
2025-08-31,3373.9558,1.8828571428571428
2025-09-30,3759.5257,1.749047619047619
2025-10-31,4094.0485,1.771818181818182
